coordinates,tarif,accessibilite_pmr,indications_localisation,type,horaires,relais_bebe,commune,code_postal,departement,code_departement,latitude,longitude
"[48.8973013997178, 2.3856514]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8973013997178,2.3856514
"[49.0712556996747, 2.1724746]",Gratuit,pas d'info,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Auvers-sur-Oise,95039,Val-d'Oise,95,49.0712556996747,2.1724746
"[48.7904955997443, 2.4583791]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Créteil,94028,Val-de-Marne,94,48.7904955997443,2.4583791
"[48.8327226997338, 2.3726897]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,Oui,Paris,75056,Paris,75,48.8327226997338,2.3726897
"[48.8740642997236, 2.3764033]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8740642997236,2.3764033
"[48.8213808997366, 2.3205661]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8213808997366,2.3205661
"[48.811978399739, 2.4744594]",Payant,Non,Place d'Arme/Avenue de Condé,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Saint-Maur-des-Fossés,94068,Val-de-Marne,94,48.811978399739,2.4744594
"[48.7578210997524, 2.3873814]",Gratuit,pas d'info,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,Oui,Thiais,94073,Val-de-Marne,94,48.7578210997524,2.3873814
"[48.8000192997419, 2.1836212]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Viroflay,78686,Yvelines,78,48.8000192997419,2.1836212
"[48.8269178997352, 2.3661183]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8269178997352,2.3661183
"[49.0346551996838, 2.0728356]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Cergy,95127,Val-d'Oise,95,49.0346551996838,2.0728356
"[48.8535002997287, 2.3697659]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8535002997287,2.3697659
"[48.7218651997613, 2.4522273]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Villeneuve-Saint-Georges,94078,Val-de-Marne,94,48.7218651997613,2.4522273
"[48.6452471997803, 2.1525257]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Janvry,91319,Essonne,91,48.6452471997803,2.1525257
"[48.7560327997528, 2.3723412]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Thiais,94073,Val-de-Marne,94,48.7560327997528,2.3723412
"[48.8432429997312, 2.3507801]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8432429997312,2.3507801
"[48.8954972997183, 2.3101151]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8954972997183,2.3101151
"[48.9075459997152, 2.3460586]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Saint-Ouen-sur-Seine,93070,Seine-Saint-Denis,93,48.9075459997152,2.3460586
"[48.9446906749263, 2.39827762663407]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,La Courneuve,93027,Seine-Saint-Denis,93,48.9446906749263,2.39827762663407
"[48.856419356049, 2.78055105720105]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,Oui,Serris,77449,Seine-et-Marne,77,48.856419356049,2.78055105720105
"[48.8119792060225, 2.47445890179976]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Saint-Maur-des-Fossés,94068,Val-de-Marne,94,48.8119792060225,2.47445890179976
"[48.9032988375469, 1.61921795326437]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Dammartin-en-Serve,78192,Yvelines,78,48.9032988375469,1.61921795326437
"[48.3125020151102, 2.63631070599908]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Villiers-sous-Grez,77520,Seine-et-Marne,77,48.3125020151102,2.63631070599908
"[48.8667883833249, 2.3495766578313]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,Oui,Paris,75056,Paris,75,48.8667883833249,2.3495766578313
